Group,Customer_Segment,Sales_Before,Sales_After,Customer_Satisfaction_Before,Customer_Satisfaction_After,Purchase_Made
Treatment,Medium Value,,296.4553419,74.05861342,,Yes
Treatment,High Value,250.6309906,,94.76939848,100,
,,140.5724876,218.8725792,70.24902619,60.34494459,No
Control,High Value,221.3881186,267.7988683,72.42039174,,Yes
,,203.7011712,321.6469991,60.19777123,80.25654133,Yes
Control,Medium Value,240.3148319,288.2318834,79.68672645,90.39952986,Yes
Control,Medium Value,260.0272093,312.4596684,70.14801096,59.44586218,No
,Low Value,255.2622707,404.4251587,50.04966963,46.61697684,No
Treatment,High Value,177.608607,,,79.71659473,Yes
Control,Low Value,89.23390237,104.600019,53.86694564,,No
Control,Low Value,171.6731463,200.3716652,57.67248968,66.79891709,Yes
,Medium Value,125.5147129,194.8558454,69.38829649,63.52511711,Yes
Treatment,High Value,,570.6314939,94.35264991,,Yes
Treatment,Medium Value,,,54.42813253,67.35536936,No
Control,Low Value,,253.8840797,,57.05571591,No
Control,,,302.0251055,70.2917281,,No
Control,,240.9584676,296.7531444,76.61458652,74.82630927,No
Control,Medium Value,320.7389165,382.5826107,74.02291528,70.00729049,
Control,High Value,216.0051496,253.7310439,89.06893311,100,Yes
Control,High Value,173.1218161,209.5211498,75.29173877,,No
Treatment,Medium Value,153.7506571,,69.76797745,85.39459316,Yes
Control,,219.0018429,260.2715771,50.0890597,53.14968615,No
Control,Medium Value,192.8487067,233.0167675,,60.56060525,Yes
Control,Low Value,146.430564,184.9362752,50.83908375,50.62144804,Yes
,Low Value,205.1190681,310.0329661,,73.92144865,Yes
Control,,238.6068201,278.3087365,59.81050325,,No
Control,Low Value,,,56.59653975,59.1687424,Yes
,Low Value,216.8829731,335.1860514,54.964099,56.1513659,No
Control,Medium Value,,250.991974,67.66496643,60.16230405,No
Control,Medium Value,178.1641872,222.4258834,49.6999638,,No
Control,Medium Value,245.2357876,299.8658691,70.35990844,56.50653868,
Control,Low Value,137.6199015,162.0554973,57.83707787,74.15855214,No
Control,,162.8603692,204.429243,100,100,No
Treatment,Low Value,237.0343075,,61.00438922,73.92144865,Yes
Treatment,High Value,,315.6073255,73.88877326,55.50635558,Yes
Treatment,Medium Value,287.7420648,451.2605226,63.78280617,68.73121434,Yes
Control,High Value,271.513585,328.0195084,83.63152119,96.80895909,Yes
,Medium Value,176.8463752,216.8319042,69.26013467,79.35013473,Yes
,Medium Value,229.8405909,280.0023971,70.31135738,65.11550465,No
Treatment,High Value,366.2756109,576.680026,100,100,No
Control,,246.891495,292.293602,73.20787232,96.4048627,No
Control,,261.9492177,307.6373966,100,,No
Treatment,Medium Value,167.2261876,265.816654,62.45751056,78.04242354,Yes
Control,,,315.8680285,51.25591172,,
Treatment,,245.0883872,387.7427178,50.30321325,53.459366,Yes
Treatment,Medium Value,177.1577177,271.6685597,68.34606852,76.34946955,Yes
Treatment,Medium Value,300.4812366,473.6535304,55.28594614,54.31452433,Yes
Control,High Value,254.4694878,,100,100,No
Control,Low Value,148.2808867,175.213296,54.50363374,65.45166869,Yes
,High Value,197.6478295,244.2295575,74.33006209,90.85603388,Yes
Control,,252.6052698,309.0804629,59.72087433,76.95487854,No
Control,,,199.2119624,,70.45285037,
Control,,162.0094021,191.1913719,98.68717175,100,Yes
Control,Medium Value,185.8607692,221.7184709,78.69238583,100,No
,Low Value,167.1480594,260.8645638,54.56779619,52.55969553,No
,High Value,186.1390707,219.8573796,96.39984577,100,Yes
Treatment,Low Value,161.0700759,252.625596,56.05010068,50.5839881,No
Control,Low Value,225.3181,266.8515008,53.60198977,58.57578832,No
Control,,,254.5833626,52.0292007,62.21247656,No
Control,High Value,,,88.76195473,100,Yes
Treatment,,186.1792218,284.3045455,68.90518556,63.91127016,
Treatment,Low Value,170.6040136,270.7152907,53.745413,,No
Treatment,Low Value,178.3087458,,56.93952695,68.95513403,No
,Low Value,185.5104521,284.1156569,,46.31907522,No
Control,Medium Value,,296.0139104,60.07745918,59.19843495,
Treatment,,208.7322301,328.1842154,71.23060769,87.79107616,No
Control,High Value,233.228939,282.307733,92.44283126,78.09002843,No
Control,Medium Value,279.0067097,334.7849338,67.95951742,63.39739174,Yes
Treatment,High Value,,510.9779508,,100,No
Treatment,High Value,158.2345595,248.206199,80.99486951,63.28331419,
Treatment,,,217.0971043,96.34016376,79.88402332,
Treatment,High Value,202.0065923,327.645668,100,100,Yes
Treatment,High Value,279.6280079,433.511833,93.14271808,100,No
Treatment,Low Value,203.7147568,315.0339247,,,
Treatment,,247.0335776,381.7992651,74.84260594,,Yes
Treatment,Low Value,,255.5088707,52.01440504,64.86835254,No
Control,High Value,113.6504002,134.6236598,80.55064422,88.04462331,Yes
Treatment,Medium Value,140.3728988,212.9116486,,73.35117261,
Treatment,Low Value,,323.466669,57.99859062,,No
Control,,231.3185408,279.3951354,53.99749912,63.23994679,No
Treatment,,122.8669419,192.5005838,95.20121365,73.92144865,No
Control,Low Value,251.4461974,303.1193853,70.47928772,,Yes
Control,,199.6328925,243.2234831,62.21443777,62.58560246,Yes
,Low Value,179.451884,271.5120974,47.890044,49.10096531,No
Control,Low Value,153.8009713,185.2405621,53.99339475,63.76195145,Yes
Control,Low Value,252.8273715,311.4337486,56.5067017,,Yes
Control,High Value,284.1010755,336.3134052,78.01517624,94.70306797,No
Control,High Value,254.3295942,321.0890203,95.90861814,,Yes
Treatment,Low Value,145.6388541,223.9316372,47.80650421,73.92144865,Yes
Control,,318.9637493,383.4007194,98.72969437,100,No
Treatment,High Value,,373.2310591,100,100,Yes
Control,Medium Value,224.8161424,260.0529754,69.58202887,78.1262658,Yes
Control,Low Value,180.747233,211.6278306,56.2440651,60.6113779,No
Control,High Value,,219.9860663,91.70312961,97.09213872,No
Control,,249.7809874,297.1202317,,71.00424115,Yes
Treatment,Low Value,212.5087394,324.1479397,49.39767608,51.78204064,No
Treatment,Medium Value,184.9454049,296.9606159,76.00672396,,No
Control,Low Value,198.3556088,238.8617209,55.00571256,70.24889286,
Control,Medium Value,203.1619871,241.9566626,69.2087804,91.56001397,No
Treatment,,225.2978274,366.7257482,61.71268687,74.82817402,Yes
Control,Low Value,203.8462203,243.7668889,57.71402462,71.56332214,Yes
Control,Low Value,190.0216285,221.4385156,,76,Yes
Control,Low Value,,,45.72204898,45.08495923,No
Treatment,Medium Value,182.6524329,285.8775009,68.0025461,58.50072667,
Treatment,Medium Value,,270.3590654,81.95329742,78.45309213,No
Treatment,High Value,181.201893,274.8689487,100,100,Yes
Control,Low Value,,232.5409695,46.52056456,40.47645273,No
Control,Medium Value,,235.2629195,65.05233855,74.61686614,No
Treatment,Medium Value,199.7821507,306.8274161,,78.31987469,Yes
Treatment,Medium Value,228.1111875,,83.22336484,87.66472627,Yes
Treatment,,,367.0532279,53.17842603,56.44631006,Yes
Treatment,High Value,291.1992413,461.2068904,86.36925153,100,No
Control,Medium Value,169.5958025,,67.61203006,72.55250035,No
Treatment,Low Value,228.2080599,,53.39753131,61.06323408,No
Control,Medium Value,310.3848362,370.5331428,74.6138903,90.87922623,No
Treatment,,208.4775862,313.1762717,89.6289266,98.48830031,No
Control,High Value,222.0492861,258.5152851,,100,Yes
,,189.1925094,285.3888491,59.95672446,66.41405538,Yes
,Medium Value,152.5947149,230.8813795,67.50448877,76.45257035,No
Treatment,Low Value,115.1463058,180.2564938,76,,No
Treatment,Low Value,,300.4238181,50.42258531,68.07368911,Yes
Control,High Value,210.7852963,236.7887607,100,,Yes
Treatment,Low Value,225.2504113,356.5781073,65.59595995,74.13652328,No
,Low Value,211.1061961,260.1766275,49.90077248,49.80114381,No
Control,High Value,191.9813548,243.0512916,89.7963558,,No
Control,Medium Value,179.4257947,216.81747,78.81755484,74.96467936,Yes
Control,High Value,193.2635476,218.7337019,100,,
Treatment,Low Value,277.1604537,421.4633995,,52.57470157,
Control,High Value,,,93.70963946,100,No
Control,,203.8462203,243.7668889,,70.94002936,Yes
Control,High Value,202.1032343,237.0756439,100,100,No
Treatment,Low Value,177.1537306,264.3715829,48.34540355,52.54263093,Yes
Treatment,Low Value,202.8790848,307.4822276,,60.99249631,Yes
,High Value,343.7457232,539.2788027,82.11659648,91.11884174,Yes
Treatment,Medium Value,224.4311302,352.5027823,61.00531325,72.32953639,Yes
Control,High Value,255.7471875,312.2032969,84.30022061,78.6038764,No
Control,Medium Value,82.1425627,105.5610632,65.8178413,51.52419148,Yes
Treatment,Medium Value,221.5763032,337.2115651,84.95043546,,No
Control,High Value,144.935445,,83.39532345,100,No
Control,Medium Value,,208.4790907,,71.9906128,Yes
,Low Value,190.5136554,226.9151356,47.63291189,60.45674051,Yes
Treatment,High Value,212.9256456,324.124294,99.90089217,87.57079889,Yes
Treatment,Medium Value,173.7506656,275.7242639,,79.82715713,Yes
Control,Low Value,157.4124094,184.6733181,,64.22803214,No
,High Value,,349.8268579,83.42793407,91.25898014,Yes
Treatment,Low Value,171.0233487,268.8985097,47.04630519,60.7944863,Yes
Treatment,Low Value,188.516525,300.9221813,46.25445839,36.38753525,Yes
Treatment,Low Value,181.8111583,286.4775769,60.24307372,63.00612911,
Treatment,Medium Value,268.621045,432.4610335,65.27183512,63.4671472,Yes
Control,High Value,119.6473026,137.9681904,98.17907023,93.86734329,Yes
Treatment,,244.371461,386.5371931,78.35427969,74.31737885,
Control,Medium Value,213.4164474,257.3987365,,,Yes
Control,High Value,226.1865484,265.0474589,83.9395827,91.84621169,No
Treatment,,153.5988624,245.1135972,47.28495376,49.37600295,Yes
Control,,221.9575303,270.8016188,66.54339198,,No
Control,Medium Value,122.6671005,142.0651263,58.7657964,62.12201754,Yes
,Low Value,196.0698647,224.989269,61.32182247,75.74992079,No
Treatment,Medium Value,224.6783446,348.1253509,63.61665789,53.05185733,Yes
Treatment,Low Value,154.0988576,234.0811074,57.93608404,57.13107654,
,Low Value,,330.2610732,54.40962081,50.47200517,Yes
Treatment,High Value,215.4691344,334.5186199,84.14466183,75.02944226,Yes
Treatment,Low Value,196.7558432,318.3264669,49.56884137,53.19912287,No
,,267.7932101,,,67.04766479,No
Treatment,,337.800908,530.4365744,98.03668584,92.41532394,Yes
Control,Medium Value,,177.2742437,58.08044208,,Yes
Control,Low Value,163.0359583,189.1441658,,44.89575782,No
Treatment,Medium Value,,313.2200653,76.86848086,98.36551442,No
Treatment,,172.0882679,260.1272921,77.39794276,78.0503195,Yes
Control,Low Value,223.529212,269.5429499,60.39411903,,No
Control,High Value,174.9244955,208.3701303,85.02781702,89.99915524,
Treatment,Medium Value,,425.9659004,56.80318035,51.23442449,Yes
Control,Low Value,210.5869925,245.9254129,57.58957848,72.06101189,
Treatment,High Value,,461.8308435,88.18197972,96.51206796,No
Treatment,High Value,179.3587121,,100,,Yes
Control,High Value,201.2379896,248.7031247,91.49155027,,Yes
Control,Medium Value,249.5456467,291.9089221,84.41822464,83.41623281,No
Treatment,Medium Value,244.1503041,365.2248045,67.32943498,,Yes
Treatment,Medium Value,189.1325651,288.7320954,82.9706721,,Yes
Control,,,248.417467,87.63859129,92.83260436,No
Treatment,Medium Value,,289.3697269,76.36604654,,Yes
,,,216.9752941,41.3399918,50.93205516,Yes
Treatment,Medium Value,155.5627505,,81.09228602,,No
Control,Medium Value,147.3655571,162.460875,68.1626871,68.64344471,Yes
Control,High Value,,343.787454,95.6905509,95.81946726,Yes
Control,Medium Value,188.9269516,226.8247018,65.98985897,76.70359578,Yes
Treatment,Low Value,,364.3377768,,63.43243029,
Treatment,High Value,255.9317179,405.1275802,91.4671172,100,
Control,Low Value,198.898963,234.108028,,49.70105863,No
Treatment,,189.7675788,286.2449755,100,100,Yes
Control,,168.6344267,203.1428213,58.19141707,65.50020111,Yes
Control,Medium Value,,230.1451757,66.77965865,,No
Treatment,Low Value,254.0987489,385.8790855,53.70807848,58.90597249,No
,High Value,275.9937642,429.2317442,78.53933041,94.08920303,No
Control,,,204.3696243,73.05094829,94.49777589,Yes
Treatment,,202.6372525,309.6467834,72.97329008,88.70791072,No
Treatment,High Value,174.5830781,267.0410447,,75.75089082,
Control,High Value,143.9614998,175.7183614,95.43064191,100,No
Control,High Value,228.3602634,276.4782022,76.52752925,94.78473997,No
Treatment,High Value,325.0465591,497.3764803,94.13298499,93.97616314,Yes
Control,,331.3072094,386.8275196,80.30780926,78.70715842,Yes
Control,Medium Value,236.546223,289.1098929,65.31185266,67.50826872,No
Treatment,High Value,196.4346405,311.5600187,,93.47438192,Yes
Control,Low Value,123.9214478,154.3348481,,,No
Control,,257.1011603,310.5335537,66.14483474,73.25230633,Yes
Treatment,Low Value,207.2162175,331.2448575,47.41166329,57.33018425,No
Treatment,,210.1358744,305.5505965,89.44330433,,Yes
Control,Low Value,164.8087233,195.9060364,38.81079085,45.96084852,No
Control,High Value,256.2885342,301.3624598,79.86501908,91.20934979,Yes
Treatment,High Value,182.1880112,299.6785475,100,100,No
Treatment,,,,59.01010345,66.19928939,Yes
Treatment,Medium Value,,226.3415587,63.86019087,71.73491807,Yes
Treatment,High Value,,546.9493069,100,100,Yes
Control,Medium Value,183.2742395,,71.71686931,49.888654,Yes
Treatment,Low Value,211.969904,326.3509454,,51.78008873,Yes
Treatment,Medium Value,151.3831317,241.5608513,77.02321857,88.13525071,No
Control,,199.7086169,247.3519896,,,
,,235.8995396,373.3350706,54.71857027,61.40801631,Yes
Control,,258.0167265,323.4284323,,63.80796931,Yes
Treatment,High Value,,422.8066509,,74.90991936,No
Treatment,Low Value,177.4190253,270.5854185,48.48018851,,No
Treatment,,179.4910023,277.0038073,,93.65977292,Yes
Control,Low Value,135.5063024,165.7036531,54.25451683,38.25263384,No
Control,High Value,306.3411171,358.2454648,,83.32505251,No
Treatment,High Value,234.3186658,360.7713704,,69.76263946,
Control,Medium Value,223.2308344,270.4462296,76.73062027,69.16620156,No
Control,High Value,302.2197835,374.0001265,66.36019649,68.67559521,Yes
Control,,,288.2397773,68.42152826,,No
Control,Low Value,178.1339154,213.5357281,,48.76955314,No
Control,High Value,263.9277413,318.6170988,91.29460979,72.75351614,Yes
Control,High Value,196.3799943,222.3660502,,100,Yes
Treatment,Low Value,110.7826952,168.5396081,49.8241653,54.86902473,Yes
Treatment,Low Value,258.2566157,395.0494301,55.43405232,51.93255506,Yes
Control,High Value,204.7875464,249.3957206,81.91523266,68.66872878,No
Treatment,Low Value,170.7523379,261.5222764,57.35120769,66.77995274,No
Treatment,Medium Value,187.9586866,301.0204416,81.1712607,88.21729402,Yes
Treatment,Low Value,,259.6731651,54.14785173,40.96593238,
,Low Value,235.6420426,364.7429248,50.84504072,48.58708079,Yes
Control,,255.4550927,301.1349175,93.6437399,93.26088851,No
Treatment,,184.234749,279.7987049,,100,No
,Low Value,,207.2682905,56.30589346,45.62770203,Yes
Control,Medium Value,222.6142344,253.1664875,60.63445276,55.9226182,No
,,85.11919029,100.1465447,88.15507154,,Yes
,Medium Value,216.8295496,337.004411,61.25716333,67.48120205,Yes
Treatment,High Value,305.4822231,454.5992637,77.8425037,100,Yes
Treatment,Low Value,184.8421619,296.0034201,61.26662268,50.47319867,Yes
,High Value,293.8024548,458.0407592,82.59436882,71.25773195,Yes
,Low Value,131.9789764,209.3795106,58.81476834,,No
Treatment,Low Value,280.8083477,441.6405225,57.16592355,63.61586578,Yes
Control,High Value,292.5403098,355.534021,,100,No
Treatment,Medium Value,225.7539817,356.6704408,,98.32739909,No
,Medium Value,170.0145417,269.7079733,66.25090403,70.89370203,Yes
Control,Low Value,158.1536628,190.5744517,53.04523228,49.05435683,No
Control,High Value,,276.547604,76.46742066,90.82224795,No
Control,Medium Value,264.037347,332.0448196,79.27678348,68.50929223,No
Control,,149.590357,172.7396775,,67.03378097,Yes
Treatment,,187.8810309,294.997051,63.79872968,56.46646894,No
Treatment,Low Value,225.2346045,355.5901844,55.45772522,61.42082757,No
,High Value,,421.0174939,100,100,No
,Low Value,229.0817445,369.1539173,52.04254761,46.58849021,Yes
Treatment,Medium Value,145.5904537,230.3001883,74.42190705,70.88341638,No
Treatment,Medium Value,263.0964161,410.9034943,73.4413167,74.27623136,No
Control,Medium Value,215.9619642,255.3940813,62.54150206,75.00424892,Yes
Treatment,Medium Value,156.7156774,249.1985837,52.79903327,55.35456149,No
Control,High Value,,272.4412648,94.9421839,99.68369591,No
Control,High Value,115.5866447,,70.05998638,85.5017722,
Treatment,,216.1484437,342.8808859,57.19974294,61.45833767,
Control,Low Value,96.56432574,113.7849835,31.47024474,76,Yes
,,,,53.18780063,56.13625017,No
Control,,,234.0049833,,100,No
Treatment,,162.3761557,243.2159395,73.80107973,83.30549697,No
Control,,156.9599921,187.271605,60.16209989,,Yes
Treatment,Medium Value,,152.3691483,66.85396104,88.5888933,No
Treatment,Low Value,,186.4794453,,46.13299029,
Treatment,Low Value,177.170869,276.0399307,40.51541173,42.37818116,Yes
Treatment,Low Value,176.4104553,282.3075886,50.74333361,42.75452592,No
Treatment,Low Value,224.8506859,338.4615454,40.45223937,,No
,Low Value,151.1582434,169.3952406,54.31642589,68.37194793,No
Control,,181.4159776,207.5397448,72.5717039,87.81343131,Yes
Control,Low Value,167.3633346,192.2451425,49.69736097,36.88435338,
Treatment,Medium Value,198.0618551,307.2467875,79.71501378,91.40556944,Yes
,High Value,222.6094365,264.4734556,92.05813915,100,Yes
Treatment,Low Value,168.6154334,263.5531027,47.74740071,61.81180537,No
Treatment,Medium Value,230.193602,360.0095491,66.18267294,77.65583794,No
Control,,,431.164452,,100,No
Control,High Value,185.5870258,210.6663327,66.07550024,70.69452151,No
Treatment,High Value,245.4001689,,83.69111308,,
Control,,207.1143101,243.9096837,73.79131835,89.45441805,No
